ID,Event Title,Date,Location,Nearest City/Junction,Event Happened?,Suicide Attack?,In Baseline?,In CPOST?,CPOST ID,CPOST Criteria,CPOST Criteria - WHY?,CPOST Date,Cpost Date - Discrepancy,CPOST - Location,CPOST Location - Discrepancy,In GTD?,GTD ID,GTD Link,GTD File,GTD Criteria,GTD Criteria - WHY?,GTD Date,GTD Date - Discrepancy,GTD Location,GTD Location - Vicinity,GTD Location - Discrepancy,Notes
7,Netzarim Junction Bicycle Bomb,11/11/1994,"Netzarim Junction, Gaza Strip",Netzarim,YES,YES,Yes,YES,537240194,YES,,11/11/1994,CORRECT,Netzarim (S),CORRECT,YES,199411110003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199411110003,1994-11-11.pdf (https://dl.airtable.com/mdEEZznUQHqOAadxTBYX_1994-11-11.pdf),YES,,11/11/1994,CORRECT,Netzarim,,AREA,
312,Hebron Suicide Bomber,12/22/1994,"Hebron, West Bank",Hebron,YES,NO,NO,NO,,,,,,,,YES,199412220008,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199412220008,1994-12-22.pdf (https://dl.airtable.com/RjKBJD1SH23VRAoQxn9x_1994-12-22.pdf),NO,"According to most reports, the attacker died while preparing the bomb. He was not ""out the door"" and the detonation was not intentional.",12/22/1994,CORRECT,Hebron,,CORRECT,
8,"Binyanei Hauma Suicide Bombing, Jerusalem",12/25/1994,"Convention Center, Jerusalem",Jerusalem,YES,YES,Yes,YES,1117523630,YES,,12/25/1994,CORRECT,Jerusalem (West),CORRECT,YES,199412250003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199412250003,1994-12-25.pdf (https://dl.airtable.com/QjJ85OdNRIfVikoRTUY7_1994-12-25.pdf),YES,,12/25/1994,CORRECT,Jerusalem,,CORRECT,
9,Beit Lid Junction Massacre,1/22/1995,Beit Lid Junction,Beit Lid Junction,YES,YES,Yes,YES,-1719272104,YES,,1/22/1995,CORRECT,Natanya,AREA,NO,,,,,,,,,,,
10,Kfar Darom Bus Attack,4/9/1995,Vicinity of Kfar Darom,Kfar Darom,YES,YES,Yes,YES,-613971756,YES,,4/9/1995,CORRECT,Kefar Darom (S),AREA,YES,199504090006,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199504090006,1995-04-09.pdf (https://dl.airtable.com/xGA0RwBxTRKdu973m8Ym_1995-04-09.pdf),YES,,4/9/1995,CORRECT,Kfar Darom,,CORRECT,
218,IDF Convoy near Netzarim,4/9/1995,"Near Netzarim, Gaza Strip",Netzarim,YES,YES,Yes,YES,1344604693,YES,,4/9/1995,CORRECT,Netzarim (S),AREA,YES,199504090007,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199504090007,1995-04-09 (b).pdf (https://dl.airtable.com/yXC7rMRuSRWFgsEj4KJb_1995-04-09%20(b).pdf),YES,,4/9/1995,CORRECT,Netzarim,,CORRECT,
219,"Donkey Bomb, IDF Base in Gaza Strip",6/25/1995,"Near Neve Dekalim, Gaza Strip",Neve Dekalim,YES,YES,NO,YES,-1537561231,YES,,6/25/1995,CORRECT,"Khan Yunis, West Bank",INCORRECT,NO,,,,,,,,,,,
11,Ramat Gan Bus 20 Bombing,7/24/1995,"Bus 20, Ramat Gan",Ramat Gan,YES,YES,Yes,YES,917511821,YES,,7/24/1995,CORRECT,Ramat Gan,CORRECT,YES,199507240012,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199507240012,1995-07-24.pdf (https://dl.airtable.com/jqDooVZ2RUKHCPqmp4Ws_1995-07-24.pdf),YES,,7/24/1995,CORRECT,Tel Aviv,,INCORRECT,Location coded as Tel Aviv
12,Ramat Eshkol Bus 26 Bombing,8/21/1995,"Bus 26, Ramat Eshkol, Jerusalem",Jerusalem,YES,YES,Yes,YES,896252265,YES,,8/21/1995,CORRECT,Jerusalem (East),CORRECT,YES,199508210008,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199508210008,1995-08-21.pdf (https://dl.airtable.com/EUsKt8ORgKPgT46FDxin_1995-08-21.pdf),YES,,8/21/1995,CORRECT,Jerusalem,,CORRECT,
313,Gaza Strip November 1995 First Car Bomb,11/2/1995,Gush Katif,Gush Katif,YES,YES,Yes,NO,,,,,,,,YES,199511020001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199511020001,1995-11-02.pdf (https://dl.airtable.com/YZzq7405TfeJhmJzHpZe_1995-11-02.pdf),YES,,11/2/1995,CORRECT,"Unknown, Gaza Strip",,AREA,"In fact, there were two attacks in Gaza Strip on that day, minutes apart. GTD Does not specify an exact location, and neither is Haifa. So this row arbitrarily coded as location: Gaza Strip, and the other one as location: Kissufim"
370,Gaza Strip November 1995 Second Car Bomb,11/2/1995,"Near Kissufim Crossing, Gaza Strip",Kissufim,YES,YES,Yes,NO,,,,,,,,NO,,,,,,,,,,,
14,First Jerusalem Bus 18 Suicide Bombing,2/25/1996,"Bus 18, near Central Bus Station, Jerusalem",Jerusalem,YES,YES,Yes,YES,1360166379,YES,,2/25/1996,CORRECT,Jerusalem (West),CORRECT,YES,199602250005,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199602250005,1996-02-25 (jerusalem).pdf (https://dl.airtable.com/csdSF8CeREuJIz64WPS9_1996-02-25%20(jerusalem).pdf),YES,,2/25/1996,CORRECT,Jerusalem,,CORRECT,
13,Ashkelon Bus Station Bombing,2/25/1996,"Bus Station, Ashkelon Junction",Ashkelon,YES,YES,Yes,YES,1273314078,YES,,2/25/1996,CORRECT,Ashqelon,AREA,YES,199602250006,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199602250006,1996-02-25 (ashkelon).pdf (https://dl.airtable.com/YFrjkOwQDmXMngh8IxmV_1996-02-25%20(ashkelon).pdf),YES,,2/25/1996,CORRECT,Ashkelon,,CORRECT,
15,Second Jerusalem Bus 18 Suicide Bombing,3/3/1996,"Bus 18, Jaffa Road, Jerusalem",Jerusalem,YES,YES,Yes,YES,318127688,YES,,3/3/1996,CORRECT,Jerusalem (West),CORRECT,YES,199603030007,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199603030007,1996-03-03.pdf (https://dl.airtable.com/GwVPsE8zQ1CcCvXHVOM4_1996-03-03.pdf),YES,,3/3/1996,CORRECT,Jerusalem,,CORRECT,
16,Tel Aviv Dizengoff Center Suicide Bombing,3/4/1996,"Dizengoff Center, Tel Aviv",Tel Aviv,YES,YES,Yes,YES,860234452,YES,,3/4/1996,CORRECT,Tel Aviv,CORRECT,YES,199603040010,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199603040010,1996-03-04.pdf (https://dl.airtable.com/bE3umDiyQdWPWF4YRe9o_1996-03-04.pdf),YES,,3/4/1996,CORRECT,Tel Aviv,,CORRECT,
314,IDF Convoy in South Lebanon Bombing,3/21/1996,"Taibeh, South Lebanon","Taibeh, Lebanon","YES, OUTSIDE ISRAEL",YES,NO,"YES, OUTSIDE ISRAEL",948847195,,,,,,,YES,199603210001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199603210001,1996-03-21.pdf (https://dl.airtable.com/1J8TsTS4SY6H8AxC1gPf_1996-03-21.pdf),YES,,3/21/1996,CORRECT,Metula,,INCORRECT,Event did not happen in Israel
17,Tel Aviv Café Apropo Bombing,3/21/1997,"Apropo Café, Ben-Gurion Blvd., Tel Aviv",Tel Aviv,YES,YES,Yes,YES,-1463751263,YES,,3/21/1997,CORRECT,Tel Aviv,CORRECT,NOT SUICIDE,199703210142,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199703210142,1997-03-21.pdf (https://dl.airtable.com/HGhmmWjdTJiDptA7VNY0_1997-03-21.pdf),,,3/21/1997,,Petah Tiqwa,,,In GTD: Location coded as Petah Tikwa; Event coded as non-suicide attack
221,Kfar Darom Suicide Attack,4/1/1997,"Near Kfar Darom, Gaza Strip",Kfar Darom,YES,PROBABLY,Yes,YES,929403286,PROBABLY,,,CORRECT,Kefar Darom (S),AREA,YES,199704010003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199704010003,1997-04-01 (2).pdf (https://dl.airtable.com/OSFQKOODReFh4hj2i4gE_1997-04-01%20(2).pdf),PROBABLY,,4/1/1997,CORRECT,"Unknown, Gaza Strip",,AREA,
220,Netzarim Suicide Attack,4/1/1997,"Near Netzarim, Gaza Strip",Netzarim,YES,PROBABLY,Yes,NO,,,,,,,,YES,199704010002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199704010002,1997-04-01 (1).pdf (https://dl.airtable.com/HroFG4KCRJ23rv4eTb0Z_1997-04-01%20(1).pdf),PROBABLY,,,CORRECT,"Unknown, Gaza Strip",,AREA,
18,First Jerusalem Mahane Yehuda Market Suicide Bombing,7/30/1997,"Mahne Yehuda Market, Jerusalem",Jerusalem,YES,YES,Yes,YES,-2100543043,YES,,7/30/1997,CORRECT,Jerusalem (West),CORRECT,YES,199707300002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199707300002,1997-07-30.pdf (https://dl.airtable.com/sAZUHTAlR0ybLNgNod1l_1997-07-30.pdf),YES,,7/30/1997,CORRECT,Jerusalem,,CORRECT,
19,Jerusalem Ben Yehuda Street Bombing,9/4/1997,"Ben Yehuda Street, Jerusalem",Jerusalem,YES,YES,Yes,YES,-2014145562,YES,,9/4/1997,CORRECT,Jerusalem (West),CORRECT,YES,199709040001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199709040001,1997-09-04.pdf (https://dl.airtable.com/VF8zDsFJT1u2M7jtj81N_1997-09-04.pdf),YES,,9/4/1997,CORRECT,Jerusalem,,CORRECT,
315,Ramallah Industrial Area Car Bomb,3/29/1998,"Beitunya Industrial Area, Ramallah",Ramallah,YES,UNCLEAR,NO,NO,,,,,,,,YES,199803300001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199803300001,1998-03-30.pdf (https://dl.airtable.com/3KBV3hpTfKrPGh4GdbRb_1998-03-30.pdf),NO,"Detonation was not intentional. Attacker was not ""Out the door."" The event may have been an assassination.",3/30/1998,INCORRECT,Ramallah,,CORRECT,Probably not an attack. Correct date is 29 March
371,Car Bomb Attempt at Jerusalem Jaffa Road,7/19/1998,"Jaffa Rd., Jerusalem",Jerusalem,YES,ATTACK AVERTED,Yes,NO,,,,,,,,NO,,,,,,,,,,,
20,Kfar Darom School Bus Bombing,10/29/1998,"School Bus, Near Kfar Darom, Gaza Strip",Kfar Darom,YES,YES,Yes,YES,-1063598888,YES,,10/29/1998,CORRECT,Kefar Darom (S),AREA,YES,199810290001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199810290001,1998-10-29.pdf (https://dl.airtable.com/nNstUoaBSVrSNgUVcgzU_1998-10-29.pdf),YES,,10/29/1998,CORRECT,Kfar Darom,,AREA,
21,Second Jerusalem Mahane Yehuda Market Suicide Bombing,11/6/1998,"Mahne Yehuda Market, Jerusalem",Jerusalem,YES,YES,Yes,YES,1214330541,YES,,11/6/1998,CORRECT,Jerusalem (West),CORRECT,YES,199811060002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199811060002,1998-11-06.pdf (https://dl.airtable.com/XpvQIepvTLOym6IE0N40_1998-11-06.pdf),YES,,6/11/1998,CORRECT,Jerusalem,,CORRECT,
23,Haifa Central Bus Station Bombing,9/5/1999,"Jaffa St., Haifa",Haifa,YES,YES,Yes,NO,,,,,,,,YES,199909050003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199909050003,1999-09-05.pdf (https://dl.airtable.com/RFpdfYwBRqfB8QZvoIoG_1999-09-05.pdf),YES,,9/5/1999,CORRECT,Haifa,,CORRECT,
22,Tiberias Egged Bus 960 Bombing,9/5/1999,"Al Hadif St., Tiberias",Tiberias,YES,YES,Yes,NO,,,,,,,,YES,199909150003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=199909150003,1999-09-15.pdf (https://dl.airtable.com/CSYGfXgJRzaAum00ISrD_1999-09-15.pdf),YES,,9/5/1999,CORRECT,Tiberias,,CORRECT,In GTD: date coded 15 September
24,IDF Gush Katif Checkpoint Bombing,10/26/2000,"IDF Checkpoint, between Kfar Darom and Gush Katif, Gaza Strip",Gush Katif,YES,YES,Yes,YES,-116555980,YES,,10/26/2000,CORRECT,Gush Katif (S),AREA,YES,200010260001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200010260001,2000-10-26.pdf (https://dl.airtable.com/wK7bJvTZQIuxJCjzMx2P_2000-10-26.pdf),YES,,10/26/2000,CORRECT,Khan Yunis; This incident occurred between the Palestinian town of Khan Younis and the Jewish settlement of Kfar Darom,checked,AREA,
25,Jerusalem Mahane Yehuda Market Bombing (Not Suicide),11/2/2000,"Mahne Yehuda Market, Jerusalem",Jerusalem,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200011020006,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200011020006,2000-11-02.pdf (https://dl.airtable.com/9x3AAG9kRveTi3X4JeJT_2000-11-02.pdf),,,,,Jerusalem,,,
316,Failed Boat Attack off Gaza Coast,11/6/2000,"At Sea, Near Dugit, Gaza Strip",Dugit,YES,YES,Yes,NO,,,,,,,,YES,200011060002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200011060002,2000-11-06.pdf (https://dl.airtable.com/bFlzY3RW693Ld1zPPKgg_2000-11-06.pdf),PROBABLY,,11/6/2000,CORRECT,Gaza; This incident occurred off the coast of Gaza.,checked,AREA,
26,Second Kfar Darom School Bus Bombing,11/20/2000,"School Bus, Near Kfar Darom, Gaza Strip",Kfar Darom,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200011200001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200011200001,2000-11-20.pdf (https://dl.airtable.com/qohNJikGQmKdtEK2Cdkl_2000-11-20.pdf),,,,,Kfar Darom,,AREA,
27,Hadera Main Street Bomb,11/22/2000,Hadera,Hadera,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200011220001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200011220001,2000-11-22.pdf (https://dl.airtable.com/oNWptqCrQLa3vyk0W3NJ_2000-11-22.pdf),,,,,"HaNassi St., Hadera",,,
367,"Erez Crossing Attack, Gaza Strip",12/15/2000,"Erez Crossing, Gaza Strip",Erez Checkpoint,YES,PROBABLY,Yes,NO,,,,,,,,NO,,,,,,,,,,,
28,Mehola Junction Bombing,12/22/2000,"Mehola Junction, West Bank",Mehola,YES,YES,Yes,YES,-247587657,YES,,12/22/2000,CORRECT,Mehola (S),CORRECT,YES,200012220003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200012220003,2000-12-22.pdf (https://dl.airtable.com/NRqa5SEnTaZljJtUQZkZ_2000-12-22.pdf),YES,,12/22/2000,CORRECT,Mehola,,CORRECT,
29,Downtown Netanya Bombing,1/1/2001,"Corner of Herzl and Dizengoff streets, Netanya",Netanya,YES,UNCLEAR,NO,YES,975458768,UNCLEAR,It is unclear whether the attacker intended to die during the attack.,1/1/2001,CORRECT,Natanya,CORRECT,YES,200101080001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200101080001,2001-01-08.pdf (https://dl.airtable.com/JzMOgoXBTp4uA1NSsArg_2001-01-08.pdf),UNCLEAR,It is unclear whether the attacker intended to be killed,1/8/2001,INCORRECT,Netanya,,CORRECT,We were unable to determine whether this was a suicide attack or whether the supposed attacker did not intend to kill himself.
31,"Beit Yisrael Neighborhood, Jerusalem Bombing",2/8/2001,Jerusalem,Jerusalem,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200102080001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200102080001,2001-02-08.pdf (https://dl.airtable.com/PH3whDgqTPLer2n8pWyk_2001-02-08.pdf),,,,,Jerusalem,,,
32,Mei Ami Junction Bombing,3/1/2001,Mei Ami Junction,Mei Ami Junction,YES,PROBABLY,Yes,NO,,,,,,,,YES,200103020004,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200103020004,2001-03-02.pdf (https://dl.airtable.com/NubHleFBT8SGqlEYKAoP_2001-03-02.pdf),YES,,3/2/2001,INCORRECT,Umm al-Fahm,checked,AREA,In GTD: event coded 2 March
33,Downtown Netanya Bombing,3/4/2001,"Corner of Herzl and Shoham streets, Netanya",Netanya,YES,YES,Yes,YES,485876100,YES,,3/4/2001,CORRECT,Natanya,CORRECT,YES,200103040003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200103040003,2001-03-04.pdf (https://dl.airtable.com/HGaMw7eyQPaV1ZxdwY8i_2001-03-04.pdf),YES,,3/4/2001,CORRECT,Netanya,,CORRECT,
35,"Egged Bus 6 Bombing, French Hill, Jerusalem",3/27/2001,"Bus 6, French Hill, Jerusalem",Jerusalem,YES,YES,Yes,YES,-270081544,YES,,3/27/2001,CORRECT,Jerusalem (West),JERUSALEM INCORRECT,YES,200103270009,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200103270009,2001-03-27.pdf (https://dl.airtable.com/33rMk2wTYqfuDcUmOBiQ_2001-03-27.pdf),YES,,3/27/2001,CORRECT,Jerusalem,,CORRECT,
36,"Mifgash Shalom Gas Station, Neve Yamin Bombing",3/28/2001,"Mifgash Shalom gas station, Neve Yamin",Neve Yamin,YES,YES,Yes,YES,1106085676,YES,,3/28/2001,CORRECT,Kefar Saba,AREA,YES,200103280006,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200103280006,2001-03-28.pdf (https://dl.airtable.com/PllQ1e15T2pJq4xEJC3g_2001-03-28.pdf),YES,,3/28/2001,CORRECT,"Qalqilya; The Mifgash Hashalom (Peace Meeting) gas station, outside of Qalqilya, a city under Palestinian control and in the southern area of West Bank, near Kfar Sava, an city under Israeli control, and northwest of Jerusalem, Sharon district",checked,INCORRECT,"In GTD, location coded as ""Near Qalqilya"""
37,Kfar Saba Bombing,4/22/2001,"Corner of Weizman and Tchernichovsky streets, Kfar Sava",Kfar Sava,YES,YES,Yes,YES,143181088,YES,,4/22/2001,CORRECT,Kefar Saba,CORRECT,YES,200104220003,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200104220003,2001-04-22.pdf (https://dl.airtable.com/wOkFHTm6SXSuXyCD25wY_2001-04-22.pdf),YES,,4/22/2001,CORRECT,Kefar Sava,,CORRECT,
38,Or Yehuda Bomb (Not Suicide),4/23/2001,Or Yehuda,Or Yehuda,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200104230004,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200104230004,2001-04-23.pdf (https://dl.airtable.com/KDHdNeU7Td2v7XErXpr7_2001-04-23.pdf),,,,,Or Yehuda,,,
39,School Bus Bombing Near Nablus,4/29/2001,"Dayr Sharaf Junction, Near Nablus, West Bank",Dayr Sharaf,YES,YES,Yes,YES,1501618655,YES,,4/29/2001,CORRECT,Homesh (S),AREA,NOT SUICIDE,200104290002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200104290002,2001-04-29.pdf (https://dl.airtable.com/3zVVvrOWTTmWzRscshyd_2001-04-29.pdf),,,,,"Unknown, West Bank",,,GTD possibly refers to this incident in the attached entry
40,HaSharon Mall Netanya Suicide Bombing,5/18/2001,"HaSharon shopping mall, Netanya",Netanya,YES,YES,Yes,YES,1998363464,YES,,5/18/2001,CORRECT,Natanya,CORRECT,YES,200105180001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105180001,2001-05-18.pdf (https://dl.airtable.com/oju18kI6Sjad1HB63o95_2001-05-18.pdf),YES,,5/18/2001,CORRECT,Netanya,,CORRECT,
42,Hadera Central Bus Station Suicide Bombing,5/25/2001,"Central bus station, Hadera",Hadera,YES,YES,Yes,YES,-1723137641,UNCLEAR,It is possible that the terrorists intended to get off the car and detonate themselves there. The vehicle's explosion may have been an accident.,5/25/2001,CORRECT,Hadera,CORRECT,YES,200105250001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105250001,2001-05-25.pdf (https://dl.airtable.com/NNNvvbowSNaQMzgNeU49_2001-05-25.pdf),YES,,5/25/2001,CORRECT,Hadera,,CORRECT,
222,"Failed Attack on IDF Post, Netzarim, Gaza Strip",5/25/2001,"IDF Outpost, Near Netzarim, Gaza Strip",Netzarim,YES,YES,Yes,YES,-125593055,NO,Vehicle blew up after the targeted soldiers shot at it.,5/25/2001,CORRECT,Netzarim (S),AREA,NO,,,,,,,,,,,
44,Jerusalem Jaffa Road bombing,5/27/2001,"Corner of Jaffa Road and Heshin St., Downton, Jerusalem",Jerusalem,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200105270001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105270001,2001-05-27 (b).pdf (https://dl.airtable.com/mcvc3MbRIu5AndXy5aBw_2001-05-27%20(b).pdf),,,,,Jerusalem,,,
43,Jerusalem Russian Compound Car Bomb,5/27/2001,"Russian Compound, Downtown, Jerusalem",Jerusalem,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200105270002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105270002,2001-05-27 (a).pdf (https://dl.airtable.com/jd5U2rBJQcGw7ypdiIyA_2001-05-27%20(a).pdf),,,,,Jerusalem,,,
223,"Attempted Attack Against IDF Outpost, Neve Dekalim, Gaza Strip",5/29/2001,"IDF Outpost, Near Neve Deqalim, Gaza Strip",Neve Dekalim,YES,YES,Yes,YES,856994392,YES,,5/29/2001,CORRECT,Gaza City,INCORRECT,YES,200105290008,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105290008,2001-05-29.pdf (https://dl.airtable.com/QtTV3tkJTAuvuTxkxArp_2001-05-29.pdf),YES,,5/29/2001,CORRECT,Gaza; This incident took place at an Israeli Military checkpoint in the Gaza Strip,checked,AREA,
45,Netanya School Bombing,5/30/2001,Netanya,Netanya,YES,NO,NO,NO,,,,,,,,NOT SUICIDE,200105300002,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200105300002,2001-05-30.pdf (https://dl.airtable.com/SjGSAad7T0Wa1EP2HzuD_2001-05-30.pdf),,,,,Netanya,,,
46,Tel Aviv Dolphinarium Nightclub Suicide Bombing,6/1/2001,"Dolphinarium Nightclub, Tel Aviv",Tel Aviv,YES,YES,Yes,YES,-946572661,YES,,6/1/2001,CORRECT,Tel Aviv,CORRECT,YES,200106010001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200106010001,2001-06-01.pdf (https://dl.airtable.com/YYEgV5nQQqWC9ghDNKcH_2001-06-01.pdf),YES,,6/1/2001,CORRECT,Tel Aviv,,CORRECT,
362,"Partial Blast Near Dahaniya/Rafah Checkpoint, Gaza Strip",6/17/2001,"Dahaniya/Rafah Checkpoint, Gaza Strip",Dahaniya,YES,YES,Yes,NO,,,,,,,,NO,,,,,,,,,,,
47,"Dugit Bombing, Gaza Strip",6/22/2001,"Near Dugit, Gaza Strip",Dugit,YES,YES,Yes,YES,-463111349,YES,,6/22/2001,CORRECT,Gaza City,INCORRECT,YES,200106220001,http://www.start.umd.edu/gtd/search/IncidentSummary.aspx?gtdid=200106220001,2001-06-22.pdf (https://dl.airtable.com/zdmsWV59SBCkR2uEgkhj_2001-06-22.pdf),YES,,6/22/2001,CORRECT,Dugit,checked,CORRECT,
